num_threads,run_1,run_2,run_3
1,11.361488,11.342607,11.363650
2,5.517108,5.516229,5.513497
3,3.604897,3.610375,3.608578
4,2.741680,2.736125,2.737127
5,2.206771,2.203705,2.204635
6,1.893566,1.890830,1.890919
7,1.631327,1.629974,1.629818
8,1.453047,1.451971,1.452215
9,1.397219,1.397241,1.397600
10,1.172739,1.174580,1.172530
11,1.093137,1.092788,1.093560
12,1.009201,1.009265,1.009698
13,0.962194,0.960496,0.959795
14,0.896446,0.894509,0.895158
15,0.844720,0.844089,0.849206
16,0.803699,0.805126,0.805278
17,0.776557,0.776469,0.773571
18,0.768249,0.770751,0.770791
19,0.740670,0.738839,0.738651
20,0.690482,0.692416,0.693975
21,0.666878,0.665101,0.665194
22,0.634618,0.635032,0.635964
23,0.606979,0.605348,0.604595
24,0.585291,0.585448,0.583106
25,0.573538,0.573438,0.572663
26,0.561561,0.563130,0.560654
27,0.552140,0.550754,0.556590
28,0.537609,0.537937,0.537613
29,0.530873,0.531645,0.529274
30,0.514711,0.516685,0.517180
31,0.513452,0.518529,0.514251
32,0.524521,0.520803,0.526591
33,0.524351,0.520331,0.521778
34,0.518125,0.528721,0.517049
35,0.518748,0.524126,0.519240
36,0.527558,0.524828,0.531143
37,0.527692,0.527649,0.530554
38,0.519853,0.517624,0.519157
39,0.506731,0.515332,0.509898
40,0.498395,0.497412,0.505455
41,0.491964,0.492847,0.487085
42,0.483253,0.489608,0.482534
43,0.475851,0.471141,0.466433
44,0.465001,0.464146,0.458416
45,0.457109,0.457967,0.455334
46,0.452718,0.451142,0.451511
47,0.442373,0.440838,0.444443
48,0.444360,0.444769,0.441524
49,0.428392,0.433423,0.430405
50,0.420596,0.420154,0.422084
51,0.410111,0.410349,0.410774
52,0.403660,0.403121,0.409628
53,0.449040,0.431912,0.437033
54,0.421036,0.414622,0.412392
55,0.400607,0.400827,0.393407
56,0.395224,0.391288,0.395807
57,0.390679,0.374679,0.408733
58,0.395371,0.395278,0.404446
59,0.406473,0.414424,0.395590
60,0.410863,0.379802,0.384300
61,0.374498,0.375903,0.372759
62,0.350336,0.366173,0.361133
63,0.363539,0.367350,0.371381
64,0.357084,0.359576,0.364501
65,0.362823,0.368016,0.362788
66,0.391004,0.378944,0.379514
67,0.355616,0.364017,0.359959
68,0.368284,0.356566,0.339101
69,0.354523,0.362365,0.384033
70,0.394560,0.374316,0.370273
