num_threads,run_1,run_2,run_3
1,11.158046,11.168597,11.160225
2,7.113664,7.162486,7.132668
3,4.229892,4.221392,4.217134
4,3.267089,3.263659,3.282352
5,2.314833,2.319923,2.307288
6,2.230107,2.220121,2.241956
7,1.700418,1.699605,1.694020
8,1.680676,1.677430,1.679542
9,1.584397,1.591130,1.585312
10,1.325700,1.330384,1.325847
11,1.193701,1.195369,1.194072
12,1.090062,1.091846,1.091153
13,1.054938,1.056931,1.057731
14,0.995469,0.993898,0.993476
15,0.920747,0.927966,0.925905
16,0.861585,0.865334,0.865456
17,0.795752,0.793298,0.796418
18,0.780687,0.781163,0.778229
19,0.762967,0.761706,0.761983
20,0.731002,0.731084,0.732397
21,0.706563,0.705149,0.710219
22,0.670878,0.672028,0.673861
23,0.620490,0.621471,0.618697
24,0.601735,0.597205,0.598956
25,0.573974,0.574108,0.575140
26,0.560088,0.561555,0.560851
27,0.543954,0.540296,0.543482
28,0.526393,0.523421,0.524400
29,0.518814,0.520470,0.517591
30,0.500916,0.502719,0.500635
31,0.490504,0.490803,0.492248
32,0.488800,0.487664,0.490414
33,0.480638,0.476955,0.480124
34,0.468688,0.471724,0.468499
35,0.454926,0.450474,0.447441
36,0.465309,0.467531,0.467586
37,0.464260,0.460570,0.460077
38,0.447398,0.460475,0.457171
39,0.451691,0.455538,0.452262
40,0.442407,0.447691,0.451907
41,0.438900,0.438979,0.437314
42,0.430573,0.436660,0.430103
43,0.428366,0.429033,0.422351
44,0.414805,0.415870,0.413733
45,0.408294,0.409561,0.414733
46,0.394133,0.402949,0.397930
47,0.394012,0.386577,0.395596
48,0.384184,0.386379,0.396647
49,0.467434,0.446304,0.429968
50,0.425602,0.418947,0.409961
51,0.401335,0.395780,0.391236
52,0.377678,0.371905,0.372271
53,0.366570,0.373746,0.352561
54,0.365799,0.366433,0.355278
55,0.359746,0.363934,0.363844
56,0.346956,0.361050,0.361175
57,0.368383,0.361040,0.363199
58,0.364228,0.355593,0.361059
59,0.356275,0.364327,0.362514
60,0.339027,0.358893,0.361965
61,0.353441,0.355081,0.362246
62,0.358691,0.360462,0.360457
63,0.358509,0.362423,0.360893
64,0.353932,0.356199,0.349937
65,0.342308,0.335790,0.341764
66,0.340628,0.344846,0.345721
67,0.340827,0.343795,0.346943
68,0.343098,0.332896,0.319390
69,0.321778,0.323907,0.330750
70,0.326840,0.329119,0.326682
