num_threads,run_1,run_2,run_3
1,11.242540,11.242201,11.247608
2,5.658471,5.662945,5.657863
3,3.753254,3.751649,3.745577
4,2.849028,2.847392,2.849396
5,2.313152,2.311693,2.310112
6,1.958159,1.954978,1.957593
7,1.688547,1.687014,1.686047
8,1.495866,1.492066,1.493384
9,1.543016,1.544051,1.544194
10,1.226227,1.227294,1.227240
11,1.135138,1.134263,1.132995
12,1.054591,1.053384,1.052374
13,0.978214,0.981563,0.979359
14,0.928965,0.927776,0.927744
15,0.871163,0.870551,0.870318
16,0.829126,0.829831,0.828312
17,0.812235,0.811679,0.811128
18,0.854559,0.855842,0.854728
19,0.815105,0.818280,0.817591
20,0.776165,0.774716,0.779219
21,0.737866,0.736444,0.737540
22,0.722334,0.722165,0.722394
23,0.623824,0.623674,0.623370
24,0.610335,0.607489,0.609376
25,0.591906,0.591942,0.591532
26,0.577584,0.577457,0.578847
27,0.569478,0.569935,0.568724
28,0.555484,0.554953,0.554146
29,0.559523,0.558109,0.559084
30,0.542459,0.541705,0.541958
31,0.565046,0.565939,0.567858
32,0.575546,0.573245,0.571226
33,0.574267,0.574141,0.569631
34,0.579501,0.576289,0.573158
35,0.579746,0.589079,0.573776
36,0.585182,0.585508,0.574860
37,0.591087,0.592633,0.588634
38,0.591909,0.576797,0.576905
39,0.574470,0.570795,0.575706
40,0.564471,0.565854,0.568580
41,0.555326,0.557637,0.556111
42,0.556527,0.546596,0.548464
43,0.545655,0.535029,0.535744
44,0.531822,0.544784,0.530019
45,0.531657,0.522788,0.525574
46,0.515056,0.519191,0.508970
47,0.497322,0.502773,0.505445
48,0.489425,0.502334,0.489305
49,0.489448,0.481071,0.477846
50,0.474116,0.477773,0.532904
51,0.511097,0.488578,0.466329
52,0.451406,0.455127,0.506941
53,0.492113,0.465352,0.454309
54,0.442070,0.432768,0.437992
55,0.420307,0.422440,0.442781
56,0.476809,0.449185,0.453210
57,0.420559,0.415824,0.431780
58,0.406401,0.410846,0.413597
59,0.402944,0.404194,0.398337
60,0.400898,0.395023,0.399884
61,0.384653,0.396697,0.391330
62,0.380152,0.386292,0.383804
63,0.364109,0.380765,0.370760
64,0.379005,0.384167,0.364433
65,0.372428,0.377475,0.383167
66,0.376516,0.377760,0.376277
67,0.369292,0.368566,0.374972
68,0.381402,0.371363,0.385640
69,0.354759,0.368262,0.361200
70,0.373458,0.374434,0.380595
